title,abstract,publish_time,journal,authors,year,abstract_word_count,title_word_count
COVID-19 vaccine study: 251,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-12-11,The Lancet,Researcher 251 et al.,2022,12,4
COVID-19 public health study: 252,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-01-17,New England Journal of Medicine,Researcher 252 et al.,2022,12,5
COVID-19 economic study: 253,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-04-06,PLoS One,Researcher 253 et al.,2022,12,4
COVID-19 vaccine study: 254,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-12-25,Cell,Researcher 254 et al.,2021,24,4
COVID-19 treatment study: 255,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-09-14,Journal of Medical Virology,Researcher 255 et al.,2022,12,4
COVID-19 virology study: 256,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-10-17,Science,Researcher 256 et al.,2021,24,4
COVID-19 treatment study: 257,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-05-20,Nature,Researcher 257 et al.,2021,24,4
COVID-19 virology study: 258,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2020-11-24,New England Journal of Medicine,Researcher 258 et al.,2020,12,4
COVID-19 epidemiology study: 259,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-01-18,Nature,Researcher 259 et al.,2021,24,4
COVID-19 epidemiology study: 260,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-11-02,Journal of Medical Virology,Researcher 260 et al.,2021,12,4
COVID-19 epidemiology study: 261,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-10-21,Nature,Researcher 261 et al.,2022,18,4
COVID-19 public health study: 262,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-05-06,BioRxiv,Researcher 262 et al.,2021,18,5
COVID-19 treatment study: 263,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-06-18,Journal of Medical Virology,Researcher 263 et al.,2021,18,4
COVID-19 virology study: 264,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-10-14,BioRxiv,Researcher 264 et al.,2021,18,4
COVID-19 vaccine study: 265,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-03-06,New England Journal of Medicine,Researcher 265 et al.,2020,28,4
COVID-19 clinical study: 266,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-08-12,Journal of Medical Virology,Researcher 266 et al.,2020,12,4
COVID-19 vaccine study: 267,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-11-12,New England Journal of Medicine,Researcher 267 et al.,2020,12,4
COVID-19 clinical study: 268,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-01-16,BioRxiv,Researcher 268 et al.,2020,12,4
COVID-19 diagnostic study: 269,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-02-11,The Lancet,Researcher 269 et al.,2022,18,4
COVID-19 vaccine study: 270,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2022-12-12,The Lancet,Researcher 270 et al.,2022,18,4
COVID-19 economic study: 271,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-09-16,Journal of Medical Virology,Researcher 271 et al.,2021,14,4
COVID-19 economic study: 272,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-12-16,MedRxiv,Researcher 272 et al.,2022,18,4
COVID-19 mental health study: 273,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2022-10-25,The Lancet,Researcher 273 et al.,2022,12,5
COVID-19 treatment study: 274,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-05-25,Science,Researcher 274 et al.,2022,12,4
COVID-19 clinical study: 275,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-03-23,MedRxiv,Researcher 275 et al.,2021,12,4
COVID-19 clinical study: 276,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-06-22,Science,Researcher 276 et al.,2022,12,4
COVID-19 treatment study: 277,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-10-06,The Lancet,Researcher 277 et al.,2021,12,4
COVID-19 public health study: 278,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-11-02,The Lancet,Researcher 278 et al.,2022,12,5
COVID-19 mental health study: 279,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-11-11,Nature Medicine,Researcher 279 et al.,2020,14,5
COVID-19 public health study: 280,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-02-02,Nature Medicine,Researcher 280 et al.,2020,18,5
COVID-19 public health study: 281,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-08-13,New England Journal of Medicine,Researcher 281 et al.,2022,12,5
COVID-19 public health study: 282,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-08-04,Journal of Medical Virology,Researcher 282 et al.,2021,12,5
COVID-19 treatment study: 283,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-01-11,JAMA,Researcher 283 et al.,2022,18,4
COVID-19 public health study: 284,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-01-27,JAMA,Researcher 284 et al.,2022,18,5
COVID-19 economic study: 285,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-06-22,The Lancet,Researcher 285 et al.,2021,18,4
COVID-19 epidemiology study: 286,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-05-10,Nature,Researcher 286 et al.,2020,14,4
COVID-19 diagnostic study: 287,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2020-12-10,The Lancet,Researcher 287 et al.,2020,24,4
COVID-19 clinical study: 288,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2022-11-21,Nature Medicine,Researcher 288 et al.,2022,28,4
COVID-19 clinical study: 289,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-12-08,New England Journal of Medicine,Researcher 289 et al.,2021,21,4
COVID-19 diagnostic study: 290,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-07-08,The Lancet,Researcher 290 et al.,2021,24,4
COVID-19 treatment study: 291,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-06-05,Cell,Researcher 291 et al.,2022,18,4
COVID-19 vaccine study: 292,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-09-03,MedRxiv,Researcher 292 et al.,2022,12,4
COVID-19 treatment study: 293,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-10-04,Nature,Researcher 293 et al.,2020,24,4
COVID-19 clinical study: 294,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-06-24,Cell,Researcher 294 et al.,2020,12,4
COVID-19 clinical study: 295,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-11-02,New England Journal of Medicine,Researcher 295 et al.,2022,24,4
COVID-19 diagnostic study: 296,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-01-25,New England Journal of Medicine,Researcher 296 et al.,2022,12,4
COVID-19 public health study: 297,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-07-17,Science,Researcher 297 et al.,2020,24,5
COVID-19 treatment study: 298,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-04-20,BMJ,Researcher 298 et al.,2022,14,4
COVID-19 virology study: 299,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-03-03,Cell,Researcher 299 et al.,2020,12,4
COVID-19 diagnostic study: 300,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-07-27,Science,Researcher 300 et al.,2020,28,4
COVID-19 economic study: 301,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-01-18,Nature Medicine,Researcher 301 et al.,2021,12,4
COVID-19 clinical study: 302,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2020-04-20,PLoS One,Researcher 302 et al.,2020,12,4
COVID-19 diagnostic study: 303,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2020-11-18,Nature,Researcher 303 et al.,2020,14,4
COVID-19 treatment study: 304,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-02-01,MedRxiv,Researcher 304 et al.,2020,24,4
COVID-19 clinical study: 305,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-10-13,PLoS One,Researcher 305 et al.,2021,28,4
COVID-19 vaccine study: 306,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-10-27,Journal of Medical Virology,Researcher 306 et al.,2022,12,4
COVID-19 diagnostic study: 307,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-09-09,BioRxiv,Researcher 307 et al.,2022,14,4
COVID-19 mental health study: 308,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-10-01,Nature Medicine,Researcher 308 et al.,2020,24,5
COVID-19 clinical study: 309,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-06-02,Nature Medicine,Researcher 309 et al.,2020,24,4
COVID-19 treatment study: 310,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2020-09-04,PLoS One,Researcher 310 et al.,2020,12,4
COVID-19 epidemiology study: 311,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-11-24,Cell,Researcher 311 et al.,2020,12,4
COVID-19 virology study: 312,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-05-03,BMJ,Researcher 312 et al.,2022,14,4
COVID-19 genetics study: 313,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-03-19,MedRxiv,Researcher 313 et al.,2021,18,4
COVID-19 public health study: 314,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-12-07,Cell,Researcher 314 et al.,2020,24,5
COVID-19 genetics study: 315,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-07-07,PLoS One,Researcher 315 et al.,2022,21,4
COVID-19 treatment study: 316,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-08-05,MedRxiv,Researcher 316 et al.,2021,24,4
COVID-19 economic study: 317,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-04-23,Journal of Medical Virology,Researcher 317 et al.,2020,24,4
COVID-19 economic study: 318,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-04-15,Cell,Researcher 318 et al.,2021,24,4
COVID-19 epidemiology study: 319,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-04-13,JAMA,Researcher 319 et al.,2021,28,4
COVID-19 public health study: 320,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-08-09,Cell,Researcher 320 et al.,2020,24,5
COVID-19 mental health study: 321,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-07-14,New England Journal of Medicine,Researcher 321 et al.,2022,24,5
COVID-19 epidemiology study: 322,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-09-27,BioRxiv,Researcher 322 et al.,2021,24,4
COVID-19 genetics study: 323,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-03-05,Science,Researcher 323 et al.,2021,18,4
COVID-19 epidemiology study: 324,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-03-15,Nature,Researcher 324 et al.,2020,12,4
COVID-19 genetics study: 325,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-08-04,BioRxiv,Researcher 325 et al.,2022,12,4
COVID-19 clinical study: 326,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-08-24,Cell,Researcher 326 et al.,2021,18,4
COVID-19 economic study: 327,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-04-03,BMJ,Researcher 327 et al.,2021,18,4
COVID-19 clinical study: 328,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-09-17,BioRxiv,Researcher 328 et al.,2021,21,4
COVID-19 virology study: 329,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-05-24,MedRxiv,Researcher 329 et al.,2022,21,4
COVID-19 public health study: 330,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-05-21,BMJ,Researcher 330 et al.,2022,28,5
COVID-19 mental health study: 331,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-09-25,BioRxiv,Researcher 331 et al.,2021,12,5
COVID-19 genetics study: 332,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-09-22,MedRxiv,Researcher 332 et al.,2020,24,4
COVID-19 mental health study: 333,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-05-25,Cell,Researcher 333 et al.,2021,12,5
COVID-19 genetics study: 334,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-08-07,MedRxiv,Researcher 334 et al.,2021,14,4
COVID-19 treatment study: 335,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-06-21,The Lancet,Researcher 335 et al.,2022,18,4
COVID-19 epidemiology study: 336,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-04-03,Nature Medicine,Researcher 336 et al.,2020,24,4
COVID-19 virology study: 337,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-06-15,BioRxiv,Researcher 337 et al.,2022,18,4
COVID-19 economic study: 338,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-03-04,Cell,Researcher 338 et al.,2021,24,4
COVID-19 genetics study: 339,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-09-05,Nature Medicine,Researcher 339 et al.,2022,12,4
COVID-19 mental health study: 340,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-07-26,JAMA,Researcher 340 et al.,2020,21,5
COVID-19 virology study: 341,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-05-25,MedRxiv,Researcher 341 et al.,2021,18,4
COVID-19 vaccine study: 342,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-03-14,PLoS One,Researcher 342 et al.,2022,12,4
COVID-19 vaccine study: 343,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-11-15,JAMA,Researcher 343 et al.,2020,12,4
COVID-19 clinical study: 344,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-04-07,Cell,Researcher 344 et al.,2021,14,4
COVID-19 economic study: 345,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-05-22,BMJ,Researcher 345 et al.,2021,18,4
COVID-19 treatment study: 346,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-08-17,The Lancet,Researcher 346 et al.,2020,24,4
COVID-19 mental health study: 347,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-07-10,Journal of Medical Virology,Researcher 347 et al.,2022,21,5
COVID-19 epidemiology study: 348,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-11-02,Nature Medicine,Researcher 348 et al.,2021,24,4
COVID-19 epidemiology study: 349,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-09-17,Science,Researcher 349 et al.,2022,18,4
COVID-19 mental health study: 350,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-10-22,Nature Medicine,Researcher 350 et al.,2022,18,5
COVID-19 public health study: 351,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-01-04,New England Journal of Medicine,Researcher 351 et al.,2020,12,5
COVID-19 treatment study: 352,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-09-27,Nature,Researcher 352 et al.,2022,24,4
COVID-19 virology study: 353,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-05-06,Cell,Researcher 353 et al.,2020,18,4
COVID-19 genetics study: 354,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-01-25,JAMA,Researcher 354 et al.,2020,18,4
COVID-19 public health study: 355,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-04-17,Science,Researcher 355 et al.,2022,12,5
COVID-19 genetics study: 356,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-08-02,BMJ,Researcher 356 et al.,2020,14,4
COVID-19 genetics study: 357,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2022-07-27,BMJ,Researcher 357 et al.,2022,24,4
COVID-19 public health study: 358,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-01-15,BMJ,Researcher 358 et al.,2021,18,5
COVID-19 clinical study: 359,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-10-07,Journal of Medical Virology,Researcher 359 et al.,2022,24,4
COVID-19 vaccine study: 360,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-09-17,New England Journal of Medicine,Researcher 360 et al.,2020,18,4
COVID-19 genetics study: 361,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-11-09,BMJ,Researcher 361 et al.,2021,24,4
COVID-19 public health study: 362,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2020-09-13,MedRxiv,Researcher 362 et al.,2020,12,5
COVID-19 public health study: 363,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-06-20,BMJ,Researcher 363 et al.,2021,18,5
COVID-19 diagnostic study: 364,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-03-17,Cell,Researcher 364 et al.,2020,24,4
COVID-19 clinical study: 365,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-01-12,New England Journal of Medicine,Researcher 365 et al.,2022,12,4
COVID-19 economic study: 366,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-07-01,BioRxiv,Researcher 366 et al.,2022,12,4
COVID-19 diagnostic study: 367,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-03-26,The Lancet,Researcher 367 et al.,2020,24,4
COVID-19 diagnostic study: 368,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-04-04,The Lancet,Researcher 368 et al.,2022,18,4
COVID-19 mental health study: 369,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-01-19,New England Journal of Medicine,Researcher 369 et al.,2021,18,5
COVID-19 vaccine study: 370,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-04-03,Nature,Researcher 370 et al.,2022,12,4
COVID-19 public health study: 371,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-10-01,Journal of Medical Virology,Researcher 371 et al.,2021,18,5
COVID-19 vaccine study: 372,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-02-23,Science,Researcher 372 et al.,2021,18,4
COVID-19 treatment study: 373,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-03-06,MedRxiv,Researcher 373 et al.,2022,18,4
COVID-19 mental health study: 374,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-01-17,Nature Medicine,Researcher 374 et al.,2020,12,5
COVID-19 economic study: 375,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-05-01,Cell,Researcher 375 et al.,2022,24,4
COVID-19 vaccine study: 376,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2020-11-16,PLoS One,Researcher 376 et al.,2020,18,4
COVID-19 epidemiology study: 377,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-08-13,The Lancet,Researcher 377 et al.,2021,12,4
COVID-19 genetics study: 378,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-03-19,BioRxiv,Researcher 378 et al.,2021,14,4
COVID-19 treatment study: 379,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-11-10,New England Journal of Medicine,Researcher 379 et al.,2022,28,4
COVID-19 clinical study: 380,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2020-04-04,Science,Researcher 380 et al.,2020,18,4
COVID-19 economic study: 381,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-02-24,New England Journal of Medicine,Researcher 381 et al.,2022,18,4
COVID-19 treatment study: 382,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-03-25,Nature Medicine,Researcher 382 et al.,2021,24,4
COVID-19 genetics study: 383,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-08-07,Science,Researcher 383 et al.,2020,24,4
COVID-19 mental health study: 384,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-08-23,The Lancet,Researcher 384 et al.,2021,14,5
COVID-19 genetics study: 385,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2022-02-16,BMJ,Researcher 385 et al.,2022,12,4
COVID-19 diagnostic study: 386,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2022-03-19,MedRxiv,Researcher 386 et al.,2022,24,4
COVID-19 genetics study: 387,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-04-16,New England Journal of Medicine,Researcher 387 et al.,2021,18,4
COVID-19 diagnostic study: 388,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-01-12,MedRxiv,Researcher 388 et al.,2020,12,4
COVID-19 mental health study: 389,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-05-11,MedRxiv,Researcher 389 et al.,2021,14,5
